matematika,ipa,ips,minat,karakter,gaya_belajar,suka_kerja_tim,suka_tantangan,jurusan
76,31,54,menggambar,kreatif,visual,tidak,tidak,Desain Komunikasi Visual
53,5,83,ngoding,sabar,kinestetik,ya,ya,Ilmu Sosial
70,7,72,berhitung,komunikatif,visual,tidak,ya,Ilmu Sosial
16,71,23,menulis,komunikatif,auditori,ya,ya,Manajemen
48,36,18,menggambar,sabar,auditori,ya,ya,Desain Komunikasi Visual
35,17,8,berhitung,logis,auditori,tidak,ya,Teknik Sipil
4,87,57,berhitung,logis,kinestetik,ya,tidak,Kedokteran
71,23,16,berbicara,sabar,kinestetik,ya,tidak,Ilmu Sosial
82,97,28,menggambar,kreatif,auditori,tidak,ya,Desain Komunikasi Visual
59,24,36,menulis,logis,visual,ya,tidak,Ilmu Sosial
55,55,56,berhitung,komunikatif,visual,tidak,ya,Ilmu Sosial
66,30,56,ngoding,sabar,visual,tidak,tidak,Teknik Informatika
13,80,1,berhitung,kreatif,visual,tidak,ya,Kedokteran
78,4,86,berbicara,kreatif,visual,ya,tidak,Ilmu Komunikasi
37,73,15,menulis,kreatif,visual,ya,tidak,Desain Komunikasi Visual
98,91,34,berhitung,kreatif,auditori,ya,ya,Desain Komunikasi Visual
14,14,48,menulis,kreatif,kinestetik,tidak,ya,Desain Komunikasi Visual
45,0,12,ngoding,komunikatif,visual,ya,ya,Teknik Informatika
55,26,83,menggambar,kreatif,visual,tidak,ya,Desain Komunikasi Visual
72,63,70,menulis,logis,visual,tidak,tidak,Ilmu Sosial
38,32,69,menggambar,kreatif,auditori,tidak,tidak,Desain Komunikasi Visual
25,73,95,ngoding,kreatif,kinestetik,ya,ya,Desain Komunikasi Visual
75,13,5,menggambar,kreatif,auditori,ya,ya,Desain Komunikasi Visual
28,39,94,menulis,komunikatif,kinestetik,tidak,tidak,Ilmu Sosial
9,64,22,berbicara,komunikatif,auditori,ya,tidak,Manajemen
39,100,85,ngoding,kreatif,kinestetik,tidak,tidak,Desain Komunikasi Visual
50,38,81,menggambar,logis,visual,tidak,tidak,Desain Komunikasi Visual
82,31,16,berbicara,logis,visual,tidak,ya,Ilmu Sosial
92,94,57,menulis,logis,visual,ya,tidak,Ilmu Sosial
28,46,10,berhitung,komunikatif,visual,ya,tidak,Kedokteran
99,76,97,berhitung,komunikatif,auditori,ya,ya,Manajemen
66,80,56,ngoding,kreatif,visual,tidak,ya,Desain Komunikasi Visual
50,8,82,menulis,komunikatif,kinestetik,tidak,tidak,Ilmu Sosial
86,44,96,menggambar,sabar,visual,tidak,tidak,Desain Komunikasi Visual
22,65,96,menulis,sabar,kinestetik,ya,ya,Sastra Indonesia
26,42,5,berbicara,logis,auditori,tidak,ya,Ilmu Sosial
83,1,43,ngoding,komunikatif,kinestetik,tidak,tidak,Teknik Informatika
73,55,61,berbicara,komunikatif,visual,tidak,ya,Ilmu Sosial
63,58,8,berhitung,komunikatif,kinestetik,ya,ya,Manajemen
71,34,0,ngoding,komunikatif,visual,ya,ya,Teknik Informatika
98,57,34,menulis,logis,kinestetik,ya,ya,Ilmu Sosial
21,4,32,menulis,komunikatif,auditori,tidak,tidak,Ilmu Sosial
60,46,83,berhitung,kreatif,visual,tidak,ya,Desain Komunikasi Visual
21,20,85,ngoding,sabar,visual,ya,tidak,Ilmu Sosial
99,27,92,ngoding,kreatif,visual,tidak,ya,Teknik Informatika
98,30,21,ngoding,logis,auditori,ya,ya,Teknik Informatika
52,48,61,menggambar,kreatif,visual,tidak,ya,Desain Komunikasi Visual
39,74,84,berhitung,logis,visual,tidak,ya,Teknik Sipil
58,36,29,ngoding,sabar,visual,tidak,ya,Teknik Informatika
69,48,74,menulis,logis,visual,tidak,tidak,Ilmu Sosial
19,50,61,berbicara,komunikatif,visual,tidak,tidak,Ilmu Komunikasi
11,77,51,menggambar,sabar,kinestetik,tidak,ya,Desain Komunikasi Visual
19,52,87,berhitung,sabar,visual,tidak,tidak,Ilmu Sosial
56,58,68,berbicara,komunikatif,auditori,tidak,ya,Ilmu Komunikasi
75,72,19,berbicara,sabar,visual,tidak,ya,Ilmu Sosial
82,92,96,menulis,komunikatif,auditori,ya,tidak,Manajemen
40,38,35,menggambar,sabar,auditori,ya,tidak,Desain Komunikasi Visual
20,29,66,berbicara,sabar,kinestetik,tidak,ya,Ilmu Komunikasi
95,57,29,menulis,komunikatif,auditori,tidak,tidak,Ilmu Sosial
87,75,28,berhitung,logis,visual,tidak,ya,Teknik Sipil
70,38,50,berhitung,kreatif,kinestetik,ya,tidak,Desain Komunikasi Visual
6,38,66,menggambar,sabar,kinestetik,ya,ya,Desain Komunikasi Visual
63,48,21,berbicara,sabar,auditori,tidak,tidak,Ilmu Sosial
53,5,85,menggambar,logis,kinestetik,ya,ya,Desain Komunikasi Visual
78,97,7,berhitung,kreatif,kinestetik,tidak,tidak,Kedokteran
56,63,30,ngoding,sabar,visual,ya,tidak,Ilmu Sosial
72,85,100,berbicara,logis,kinestetik,ya,tidak,Ilmu Komunikasi
85,65,10,berbicara,komunikatif,kinestetik,ya,tidak,Manajemen
34,22,72,ngoding,kreatif,visual,tidak,ya,Desain Komunikasi Visual
52,54,97,berhitung,kreatif,kinestetik,tidak,ya,Desain Komunikasi Visual
21,54,9,menulis,kreatif,kinestetik,tidak,ya,Desain Komunikasi Visual
6,16,11,berhitung,kreatif,auditori,ya,tidak,Kedokteran
60,51,85,berhitung,sabar,visual,ya,ya,Ilmu Sosial
24,72,39,berbicara,kreatif,auditori,ya,tidak,Desain Komunikasi Visual
48,17,45,menulis,logis,visual,tidak,tidak,Ilmu Sosial
63,24,81,berbicara,komunikatif,kinestetik,tidak,ya,Ilmu Komunikasi
64,2,71,menggambar,kreatif,visual,ya,tidak,Desain Komunikasi Visual
71,28,97,berbicara,sabar,kinestetik,tidak,tidak,Ilmu Komunikasi
9,25,62,ngoding,komunikatif,kinestetik,tidak,tidak,Ilmu Sosial
62,20,84,berhitung,logis,auditori,ya,tidak,Teknik Sipil
11,45,46,menggambar,logis,auditori,tidak,tidak,Desain Komunikasi Visual
60,55,71,menggambar,logis,auditori,ya,ya,Desain Komunikasi Visual
85,36,91,berhitung,kreatif,auditori,ya,ya,Desain Komunikasi Visual
7,26,30,berhitung,komunikatif,visual,tidak,ya,Ilmu Sosial
93,12,66,ngoding,logis,kinestetik,ya,ya,Teknik Informatika
81,52,13,berhitung,sabar,visual,ya,ya,Ilmu Sosial
